time;SrLT1;SrLT2;SrLT3;SrLT4
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
114.858;2.08954;1.04477;0;1.04477
116.237;2.06475;1.03238;0;1.03238
116.262;2.0643;1.03215;0;1.03215
117.57;2.04134;1.02067;0;1.02067
118.046;2.03311;1.01655;0;1.01655
118.16;2.03115;1.01557;0;1.01557
118.314;2.02851;1.01425;0;1.01425
119.887;2.00188;1.00094;0;1.00094
120.558;1.99074;0.995369;0;0.995369
121.415;1.97669;0.988343;0;0.988343
121.832;1.96992;0.984962;0;0.984962
123.465;1.94387;0.971936;0;0.971936
123.944;1.93637;0.968183;0;0.968183
124.587;1.92636;0.963179;0;0.963179
124.931;1.92105;0.960527;0;0.960527
126.665;1.89476;0.947378;0;0.947378
126.838;1.89217;0.946086;0;0.946086
127.279;1.88562;0.942809;0;0.942809
127.743;1.87877;0.939385;0;0.939385
129.158;1.85819;0.929095;0.464547;0.929095
129.423;1.85439;0.927194;0.463597;0.927194
129.589;1.852;0.926002;0.463001;0.926002
130.719;1.836;0.918001;0.459;0.918001
131.869;1.81999;0.909993;0.454997;0.909993
132.683;1.80882;0.90441;0.452205;0.90441
133.724;1.79474;0.897372;0.448686;0.897372
133.934;1.79193;0.895966;0.447983;0.895966
134.501;1.78437;0.892185;0.446093;0.892185
135.017;1.77755;0.888777;0.444388;0.888777
136.598;1.75698;0.878492;0.439246;0.878492
136.858;1.75364;0.87682;0.43841;0.87682
137.149;1.74993;0.874963;0.437481;0.874963
139.602;1.71917;0.859587;0.429793;0.859587
140.484;1.70838;0.85419;0.427095;0.85419
140.592;1.70707;0.853533;0.426767;0.853533
141.124;1.70064;0.850318;0.425159;0.850318
141.808;1.69243;0.846216;0.423108;0.846216
142.769;1.68104;0.840521;0.42026;0.840521
143.084;1.67734;0.838671;0.419335;0.838671
145.505;1.64943;0.824717;0.412358;0.824717
145.747;1.64669;0.823346;0.411673;0.823346
145.833;1.64572;0.822861;0.41143;0.822861
146.264;1.64087;0.820436;0.410218;0.820436
146.857;1.63424;0.817122;0.408561;0.817122
149.896;1.60111;0.800556;0.400278;0.800556
150.138;1.59853;0.799266;0.399633;0.799266
150.342;1.59636;0.798178;0.399089;0.798178
150.677;1.59281;0.796403;0.398201;0.796403
150.708;1.59248;0.796239;0.39812;0.796239
151.994;1.57901;0.789505;0.394752;0.789505
153.872;1.55973;0.779867;0.389934;0.779867
155.15;1.54689;0.773443;0.386721;0.773443
155.335;1.54505;0.772526;0.386263;0.772526
156.021;1.53825;0.769126;0.384563;0.769126
156.483;1.53371;0.766854;0.383427;0.766854
156.618;1.53239;0.766195;0.383098;0.766195
159.103;1.50845;0.754227;0.377114;0.754227
160.37;1.49654;0.748271;0.374135;0.748271
161.316;1.48776;0.74388;0.37194;0.74388
161.483;1.48622;0.74311;0.371555;0.74311
164.46;1.45932;0.729661;0.364831;0.729661
165.152;1.45321;0.726603;0.363302;0.726603
165.588;1.44938;0.724689;0.362345;0.724689
166.171;1.44429;0.722147;0.361073;0.722147
166.483;1.44158;0.720792;0.360396;0.720792
167.04;1.43678;0.71839;0.359195;0.71839
170.558;1.40715;0.703573;0.351787;0.703573
171.483;1.39955;0.699776;0.349888;0.699776
171.721;1.39761;0.698807;0.349403;0.698807
172.094;2.44052;0.697293;0.348646;0.697293
173.903;2.41513;0.690038;0.345019;0.690038
174.659;2.40468;0.687053;0.343526;0.687053
174.717;2.40389;0.686826;0.343413;0.686826
176.483;2.37983;0.67995;0.339975;0.67995
176.88;2.7137;0.678426;0.339213;0.678426
177.93;2.69769;0.674422;0.337211;0.674422
178.991;2.6817;0.670426;0.335213;0.670426
179.8;2.66963;0.667409;0.333704;0.667409
180.346;2.66154;0.665386;0.332693;0.665386
180.621;2.6575;0.664376;0.332188;0.664376
181.815;2.64004;0.66001;0.330005;0.66001
183.189;2.62025;0.655062;0.327531;0.655062
183.644;2.61375;0.653437;0.326718;0.653437
183.728;2.61255;0.653138;0.326569;0.653138
184.646;2.59956;0.649891;0.324945;0.649891
185.863;2.58255;0.645638;0.322819;0.645638
186.056;2.57987;0.644967;0.322484;0.644967
186.197;2.57792;1.28896;0.32224;0.64448
187.16;2.56465;1.28232;0.320581;0.641162
188.808;2.54227;1.27113;0.317783;0.635567
188.833;2.54193;1.27097;0.317741;0.635483
190.521;2.51941;1.2597;0.314926;0.629852
192.682;2.49115;1.24557;0.311393;0.622787
193.36;2.48241;1.24121;0.310301;0.620603
194.448;2.46853;1.23426;0.308566;0.617132
194.631;2.46621;1.2331;0.308276;0.616552
197.105;2.43524;1.21762;0.304406;0.608811
197.116;2.43512;1.21756;0.30439;0.608779
197.808;2.42659;1.2133;0.303324;0.606649
198.574;2.41723;1.20861;0.906461;0.604307
200.103;2.39876;1.19938;0.899537;0.599691
202.641;2.36872;1.18436;0.888269;0.59218
202.691;2.36813;1.18407;0.888049;0.592033
203.079;2.36362;1.18181;0.886356;0.590904
204.09;2.3519;1.17595;0.881963;0.587975
204.697;2.34493;1.17246;0.879348;0.586232
204.82;2.34352;1.17176;0.878819;0.585879
204.825;2.34346;1.17173;0.878798;0.585866
205.661;2.33394;1.16697;0.875227;0.583484
207.296;2.31553;1.15777;0.868325;0.578883
207.574;2.31242;1.15621;0.867159;0.578106
210.789;2.27716;1.13858;0.853934;0.569289
210.903;2.27593;1.13797;0.853474;0.568983
214.361;2.23922;1.11961;0.839706;0.559804
214.391;2.2389;1.11945;0.839588;0.559726
214.418;2.23862;1.11931;0.839481;0.559654
216.6;2.21606;1.10803;0.831023;0.554015
216.81;2.21392;1.10696;0.830221;0.553481
219.963;2.18218;1.09109;0.818319;0.545546
220.275;2.17909;1.08954;0.817159;0.544772
220.595;2.17593;1.08797;0.815975;0.543984
220.878;2.17315;1.08657;0.81493;0.543287
222.979;2.15266;1.07633;0.807249;0.538166
223.189;2.15064;1.07532;0.80649;0.53766
224.784;2.13539;1.06769;0.80077;0.533847
225.566;2.12798;1.06399;0.797992;0.531995
225.616;2.12751;1.06376;0.797817;0.531878
227.736;2.10771;1.05385;0.790391;0.526927
227.804;2.10707;1.05354;0.790153;0.526768
228.134;2.10403;1.05201;0.78901;0.526007
228.839;2.09755;1.04877;0.78658;0.524387
229.318;2.09317;1.04658;0.784937;0.523291
229.375;2.09265;1.04632;0.784743;0.523162
229.763;2.0891;1.04455;0.783414;0.522276
231.642;2.07217;1.03608;0.777063;0.518042
231.978;2.06916;1.03458;0.775936;0.517291
232.406;2.06535;1.03267;0.774505;0.516337
232.562;2.06397;1.03198;0.773988;0.515992
233.819;2.05287;1.02643;0.769826;0.513217
234.046;2.05088;1.02544;0.769079;0.512719
234.318;2.0485;1.02425;0.768188;0.512125
234.318;2.0485;1.02425;0.768188;0.512125
234.857;2.0438;1.0219;0.766425;0.51095
234.973;2.04279;1.02139;0.766045;0.510697
235.439;2.03875;1.01937;0.76453;0.509686
235.448;2.03866;1.01933;0.764499;0.509666
236.66;2.02823;1.01411;0.760586;0.507057
236.735;2.02758;1.01379;0.760342;0.506895
237.638;2.01988;1.00994;0.757455;0.50497
238.886;2.00933;1.00466;0.753498;0.502332
239.318;2.0057;1.00285;0.752138;0.501426
239.785;2.00179;1.0009;0.750673;0.500449
240.373;1.99689;0.998447;0.748835;0.499223
241.912;1.98419;0.992096;0.744072;0.496048
242.757;2.47161;0.988643;0.741482;0.494322
242.783;2.47134;0.988536;0.741402;0.494268
243.413;2.46495;0.98598;0.739485;0.49299
244.318;2.45582;0.982328;0.736746;0.491164
245.799;2.44101;0.976406;0.732304;0.488203
246.463;2.43444;0.973776;0.730332;0.486888
247.761;2.42169;0.968677;0.726508;0.484338
248.364;2.41581;0.966325;0.724744;0.483163
249.11;2.40858;0.96343;0.722573;0.481715
250.041;2.3996;0.959841;0.719881;0.47992
250.82;2.39215;0.956862;0.717646;0.478431
251.921;2.3817;0.95268;0.71451;0.47634
252.517;2.37608;0.950432;0.712824;0.475216
252.915;2.37234;0.948936;0.711702;0.474468
253.235;2.36934;0.947735;0.710802;0.473868
255.069;2.3523;0.94092;0.70569;0.47046
255.353;2.34969;0.939876;0.704907;0.469938
255.479;2.34853;0.939412;0.704559;0.469706
255.61;2.34732;0.938929;0.704197;0.469465
255.666;2.34681;0.938724;0.704043;0.469362
256.283;2.34116;0.936465;0.702348;0.468232
256.585;2.33841;0.935364;0.701523;0.467682
256.834;2.33614;0.934455;0.700841;0.467228
256.928;2.33528;0.934112;0.700584;0.467056
257.125;2.56685;0.933399;0.700049;0.466699
259.344;2.54489;0.925413;0.69406;0.462707
260.38;2.53475;0.921729;0.691297;0.460864
260.59;2.53271;0.920987;0.69074;0.460494
262.296;2.51624;0.914996;0.686247;0.457498
262.379;2.51545;0.914709;0.686032;0.457354
262.798;2.51143;0.913248;0.684936;0.456624
263.019;2.50932;0.912482;0.684361;0.456241
263.984;2.50015;0.909146;0.68186;0.454573
265.433;2.48651;0.904185;0.678138;0.452092
266.058;2.48066;0.90206;0.676545;0.45103
270.318;2.44157;0.887842;0.665881;0.443921
271.763;2.42858;0.883121;0.662341;0.441561
272.039;2.42612;0.882226;0.661669;0.441113
272.167;2.42499;0.881813;0.66136;0.440906
272.478;2.42221;0.880804;0.660603;0.440402
273.975;2.40898;0.875991;0.656994;0.437996
274.051;2.40831;0.875748;0.656811;0.437874
274.121;2.4077;0.875526;0.656645;0.437763
274.965;2.4003;0.872837;0.654628;0.436419
275.22;2.39808;0.872029;0.654022;0.436015
275.958;2.39167;0.869698;0.652273;0.434849
276.707;2.38519;0.867343;0.650507;0.433671
276.833;2.38411;0.86695;0.650212;0.433475
277.108;2.38174;0.866087;0.649565;0.433044
277.379;2.37942;0.865244;0.648933;0.432622
277.943;2.37459;0.863487;0.647615;0.431744
278.414;2.37057;0.862025;0.646519;0.431013
278.622;2.3688;0.861381;0.646036;0.430691
279.388;2.36231;0.85902;0.644265;0.42951
279.513;2.36125;0.858635;0.643976;0.429317
281.352;2.34582;0.853024;0.639768;0.426512
282.934;2.3327;0.848255;0.636191;0.424127
284.869;2.31685;0.842492;0.631869;0.421246
286.137;2.30658;0.838758;0.629068;0.419379
286.358;2.30481;0.838112;0.628584;0.419056
288.362;2.28879;0.832288;0.624216;0.416144
289.615;2.27889;0.828687;0.621516;0.414344
290.641;2.27085;0.825762;0.619322;0.412881
291.85;2.26143;0.82234;0.616755;0.41117
291.936;2.26077;0.822097;0.616573;0.411049
292.698;2.25488;0.819957;0.614967;0.409978
293.276;2.25044;0.818341;0.613756;0.409171
293.645;2.24761;0.817314;0.612986;0.408657
293.967;2.24515;0.816419;0.612314;0.408209
294.318;2.24247;0.815445;0.611584;0.407723
295.209;2.23571;0.812985;0.609738;0.406492
295.387;2.23435;0.812492;0.609369;0.406246
295.809;2.23117;0.811334;0.6085;0.405667
296.076;2.22916;0.810603;0.607952;0.405301
298.021;2.21461;0.805311;0.603983;0.402656
300.483;2.19646;0.798714;0.599035;0.399357
301.025;2.19251;0.797277;0.597958;0.398639
301.061;2.19225;0.797181;0.597886;0.39859
302.313;2.18317;0.79388;0.59541;0.39694
303.662;2.17347;0.790353;0.592765;0.395177
304.064;2.1706;0.789309;0.591982;0.394654
305.18;2.16266;0.786421;0.589816;0.393211
305.507;2.16034;0.785579;0.589184;0.392789
305.823;2.15811;0.784767;0.588575;0.392383
306.786;2.15134;0.782305;0.586729;0.391152
306.976;2.15;0.781819;0.586364;0.39091
307.377;2.1472;0.780801;0.585601;0.3904
307.973;2.14304;0.779288;0.584466;0.389644
308.482;2.13951;0.778002;0.583502;0.389001
308.483;2.1395;0.778002;0.583501;0.389001
309.527;2.13228;0.775376;0.581532;0.387688
310.068;2.12857;0.774025;0.580519;0.387012
310.271;2.12718;0.773518;0.580139;0.386759
310.319;2.12684;0.773397;0.580048;0.386699
310.494;2.12565;0.772963;0.579722;0.386481
311.421;2.11932;0.770661;0.577996;0.38533
311.487;2.11887;0.770497;0.577873;0.385249
315.626;2.09108;0.760393;0.570295;0.380196
316;2.0886;0.759493;0.56962;0.379746
317.021;2.08188;0.757047;0.567786;0.378524
317.298;2.64736;0.756387;0.567291;0.378194
317.434;2.64622;0.756063;0.567047;0.378031
318.906;2.634;0.752572;0.564429;0.376286
319.176;2.63178;0.751937;0.563953;0.375969
319.666;2.62774;0.750783;0.563088;0.375392
319.788;2.62674;0.750497;0.562872;0.375248
322.223;2.60689;0.744827;0.55862;0.372413
322.275;2.60647;0.744705;0.558529;0.372353
324.176;2.59119;0.740339;0.555255;0.37017
324.636;2.58751;0.739289;0.554467;0.369644
325.127;2.5836;0.738172;0.553629;0.369086
325.4;2.58144;0.737553;0.553165;0.368776
326.581;2.5721;0.734886;0.551165;0.367443
327.126;2.56782;0.733662;0.550247;0.366831
329.176;2.55183;0.729094;0.546821;0.364547
329.861;2.54653;0.727579;0.545685;0.36379
330.536;2.54133;0.726093;0.54457;0.363047
332.136;2.52909;0.722596;0.541947;0.361298
332.959;2.52283;0.720809;0.540607;0.360405
333.425;2.69926;0.719803;0.539852;0.359902
334.326;2.69198;0.897327;0.538396;0.358931
334.706;2.68893;0.896309;0.537785;0.358523
336.029;2.67834;0.892781;0.535668;0.357112
336.044;2.67822;0.892741;0.535645;0.357096
336.356;2.67573;0.891911;0.535147;0.356764
337.181;2.66919;0.88973;0.533838;0.355892
337.833;2.66403;0.888012;0.532807;0.355205
338.436;2.65929;0.886431;0.531859;0.354572
339.157;2.65364;0.884546;0.530728;0.353818
339.654;2.64975;0.883251;0.529951;0.353301
340.404;2.64392;0.881306;0.528784;0.352522
341.477;2.63561;0.878535;0.527121;0.351414
343.693;2.61862;0.872872;0.523723;0.349149
343.789;2.61788;0.872627;0.523576;0.349051
344.074;2.61572;0.871905;0.523143;0.348762
345.486;2.60502;0.868341;0.521005;0.347336
346.251;2.59927;0.866423;0.519854;0.346569
348.123;2.58529;0.861763;0.861763;0.344705
350.627;2.56683;0.855611;0.855611;0.342245
351.106;2.56333;0.854443;0.854443;0.341777
351.245;2.56231;0.854104;0.854104;0.341642
352.232;2.55514;0.851712;0.851712;0.340685
352.841;2.55072;0.850241;0.850241;0.340096
353.534;2.54572;0.848574;0.848574;0.339429
354.34;2.53993;0.846645;0.846645;0.338658
355.761;2.52979;0.843263;0.843263;0.337305
356.027;2.5279;0.842633;0.842633;0.337053
356.082;2.52751;0.842503;0.842503;0.337001
357.919;2.51454;0.838179;0.838179;0.335272
359.024;2.5068;0.835599;0.835599;0.33424
359.55;2.50313;0.834377;0.834377;0.333751
360.543;2.49623;0.832078;0.832078;0.332831
361.628;2.48875;0.829583;0.829583;0.331833
364.737;2.46753;0.82251;0.82251;0.329004
365.145;2.46477;0.821591;0.821591;0.328636
365.388;2.46313;0.821045;0.821045;0.328418
366.178;2.45782;0.819273;0.819273;0.327709
366.204;2.45764;0.819215;0.819215;0.327686
369.595;2.4351;0.811698;0.811698;0.324679
369.851;2.43341;0.811138;0.811138;0.324455
370.027;2.43226;0.810752;0.810752;0.324301
371.094;2.42526;0.808419;0.808419;0.323368
371.151;2.42489;0.808297;0.808297;0.323319
372.363;2.417;0.805666;0.805666;0.322266
373.077;2.41237;0.804123;0.804123;0.321649
373.622;2.40885;0.802951;0.802951;0.32118
374.384;2.40395;0.801317;0.801317;0.320527
375.39;2.3975;0.799168;0.799168;0.319667
376.348;2.39141;0.797135;0.797135;0.318854
378.982;2.37479;0.791595;0.791595;0.316638
379.189;2.37348;0.791161;0.791161;0.316465
379.617;2.37081;0.79027;0.79027;0.316108
379.624;2.37077;0.790255;0.790255;0.316102
379.657;2.37056;0.790187;0.790187;0.316075
380.662;2.3643;0.788101;0.788101;0.31524
381.42;2.3596;0.786534;0.786534;0.314613
381.66;2.35812;0.786039;0.786039;0.314416
382.003;2.356;0.785334;0.785334;0.314133
384.4;2.34131;0.780436;0.780436;0.312175
384.589;2.34016;0.780053;0.780053;0.312021
384.624;2.33995;0.779982;0.779982;0.311993
384.806;2.33884;0.779614;0.779614;0.311846
387.761;2.32101;0.773671;0.773671;0.309469
388.118;2.31888;0.77296;0.77296;0.309184
388.78;2.31493;0.771644;0.771644;0.308658
389.103;2.31301;0.771004;0.771004;0.308402
389.763;2.30909;0.769698;0.769698;0.307879
390.324;2.30578;0.768593;0.768593;0.307437
390.866;2.30258;0.767526;0.767526;0.307011
392.528;2.29283;0.764277;0.764277;0.305711
394.611;2.43277;0.760242;0.760242;0.304097
394.657;2.43249;0.760153;0.760153;0.304061
395.728;2.42591;0.758097;0.758097;0.303239
395.992;2.42429;0.757591;0.757591;0.303036
397.404;2.41567;0.754898;0.754898;0.301959
398.643;2.40817;0.752552;0.752552;0.301021
398.927;2.40646;0.752017;0.752017;0.300807
399.273;2.40437;0.751366;0.751366;0.300546
399.331;2.40402;0.751257;0.751257;0.300503
400.098;2.39941;0.749816;0.749816;0.299927
400.391;2.39765;0.749267;0.749267;0.299707
401.695;2.38988;0.746836;0.746836;0.298734
402.098;2.38748;0.746087;0.746087;0.298435
402.643;2.38425;0.745077;0.745077;0.298031
403.666;2.37821;0.743189;0.743189;0.297276
403.927;2.37667;0.742708;0.742708;0.297083
404.149;2.37536;0.742301;0.742301;0.29692
404.621;2.37259;0.741434;0.741434;0.296574
407.259;2.35722;0.736632;0.736632;0.294653
407.299;2.35699;0.73656;0.73656;0.294624
409.376;2.34503;0.732822;0.732822;0.293129
410.595;2.33807;1.02291;0.730647;0.292259
410.851;2.33661;1.02227;0.730191;0.292076
411.794;2.33126;1.01993;0.728519;0.291408
