time;kolejka pasazerow lotnisko;kolejka hotel1;kolejka hotel2;kolejka hotel3;kolejka hotel4;kolejka autobusow na lotnisku
145.959;189;1;3;0;0;0
147.658;189;1;4;0;0;0
148.934;174;1;4;0;0;0
149.772;174;1;4;1;0;0
150.426;185;1;4;1;0;0
150.54;185;1;4;1;0;1
150.814;185;1;4;1;1;1
151.901;185;1;4;1;2;1
152.148;185;1;4;1;3;1
152.187;194;1;4;1;3;1
152.53;194;1;4;1;0;1
153.934;179;1;4;1;0;0
154.034;179;1;4;1;1;0
156.62;179;1;4;2;1;0
158.356;179;1;4;2;2;0
158.484;179;1;4;2;2;1
158.571;179;1;4;3;2;1
158.934;164;1;4;3;2;0
159.858;174;1;4;3;2;0
161.12;174;1;4;3;3;0
162.047;174;1;4;3;0;0
162.368;174;2;4;3;0;0
163.112;174;0;4;3;0;0
163.448;174;1;4;3;0;0
163.855;174;1;5;3;0;0
165.817;159;1;5;3;0;0
166.553;159;1;5;3;1;0
166.825;159;1;6;3;1;0
166.869;172;1;6;3;1;0
168.83;172;0;6;3;1;0
170.6;172;0;6;4;1;0
173.222;157;0;6;4;1;0
173.447;157;0;7;4;1;0
173.571;157;0;7;4;1;0
174.041;157;0;7;4;2;0
175.507;157;0;8;4;2;0
175.935;167;0;8;4;2;0
176.324;167;0;8;5;2;0
176.727;167;0;8;5;3;0
177.304;167;0;8;5;4;0
178.053;167;0;1;5;4;0
178.312;167;0;2;5;4;0
178.978;167;0;2;5;4;0
181.444;167;0;2;6;4;0
181.883;178;0;2;6;4;0
182.412;178;0;0;6;4;0
182.546;178;0;1;6;4;0
183.064;178;0;1;7;4;0
183.94;178;0;1;8;4;0
184.159;178;0;1;8;5;0
185.414;187;0;1;8;5;0
187.082;187;0;1;8;6;0
187.466;187;0;1;8;6;0
188.64;187;0;0;8;6;0
190.484;187;0;0;6;6;0
191.43;187;0;0;6;7;0
192.284;187;0;0;7;7;0
192.337;187;0;0;8;7;0
193.851;187;0;0;8;7;0
195.501;187;0;0;8;8;0
195.908;198;0;0;8;8;0
196.821;198;0;0;0;8;0
196.958;198;0;0;0;9;0
198.289;198;0;0;0;10;0
199.807;198;0;0;1;10;0
200.166;198;0;0;2;10;0
200.489;198;0;0;3;10;0
201.317;198;0;0;4;10;0
202.05;198;0;0;5;10;0
202.45;198;0;0;5;10;0
203.484;198;0;0;0;10;0
